name,state_name,fips,land_use,r_avg,k_avg,ls_avg,c_avg,p_avg
Tuscaloosa,Alabama,1125,cropland-cultivated,350,0.32,0.207,0.25,1
Tuscaloosa,Alabama,1125,cropland-noncultivated,350,0.29,0.377,0.01,0.91
Tuscaloosa,Alabama,1125,pastureland,350,0.33,0.692,0.01,1
Tuscaloosa,Alabama,1125,forest,350,0.29,,,
Walker,Alabama,1127,cropland-cultivated,350,0.37,0.425,0.15,0.5
Walker,Alabama,1127,cropland-noncultivated,350,0.25,0.826,0.01,1
Walker,Alabama,1127,pastureland,350,0.3,0.721,0.01,1
Walker,Alabama,1127,forest,350,0.27,,,
Washington,Alabama,1129,cropland-cultivated,475,0.24,0.242,0.25,1
Washington,Alabama,1129,pastureland,475,0.23,0.581,0.01,1
Washington,Alabama,1129,forest,474.91,0.23,,,
Wilcox,Alabama,1131,cropland-cultivated,425,0.25,0.123,0.29,1
Wilcox,Alabama,1131,cropland-noncultivated,425,0.24,0.201,0,1
Wilcox,Alabama,1131,pastureland,425,0.28,0.229,0.01,1
Wilcox,Alabama,1131,rangeland,425,0.32,0.768,0.04,1
Wilcox,Alabama,1131,forest,425,0.27,,,
Winston,Alabama,1133,cropland-cultivated,325,0.29,0.243,0.26,0.9
Winston,Alabama,1133,cropland-noncultivated,325,0.26,0.721,0.01,1
Winston,Alabama,1133,pastureland,325,0.25,1.173,0.02,1
Winston,Alabama,1133,forest,325,0.23,,,
Apache,Arizona,4001,cropland-cultivated,34.5,0.37,0.37,0.32,0.97
Apache,Arizona,4001,cropland-noncultivated,31.49,0.26,0.17,0.11,1
Apache,Arizona,4001,pastureland,41.05,0.27,0.243,0.06,1
Apache,Arizona,4001,rangeland,31.21,0.24,0.233,0.22,1
Apache,Arizona,4001,forest,53.19,0.24,,,
Cochise,Arizona,4003,cropland-cultivated,72.47,0.31,0.157,0.23,1
Cochise,Arizona,4003,cropland-noncultivated,89.18,0.2,0.166,0.11,1
Cochise,Arizona,4003,pastureland,100,0.23,0.1,0.06,1
Cochise,Arizona,4003,rangeland,84.62,0.21,0.761,0.16,1
Cochise,Arizona,4003,forest,100,0.05,,,
Coconino,Arizona,4005,cropland-cultivated,20,0.28,0.126,0.25,1
Coconino,Arizona,4005,cropland-noncultivated,35,0.49,0.213,0.1,1
Coconino,Arizona,4005,pastureland,45,0.32,0.273,0.1,1
Coconino,Arizona,4005,rangeland,33.31,0.2,0.777,0.23,1
Coconino,Arizona,4005,forest,53.43,0.17,,,
Gila,Arizona,4007,cropland-noncultivated,60,0.24,0.392,0.02,1
Gila,Arizona,4007,pastureland,100,0.26,0.385,0.02,1
Gila,Arizona,4007,rangeland,69.44,0.19,1.833,0.08,1
Gila,Arizona,4007,forest,71.26,0.12,,,
Graham,Arizona,4009,cropland-cultivated,44.53,0.33,0.147,0.41,1
Graham,Arizona,4009,cropland-noncultivated,50,0.31,0.131,0.02,1
Graham,Arizona,4009,pastureland,61.82,0.33,0.159,0.16,1
Graham,Arizona,4009,rangeland,65.46,0.15,1.458,0.1,1
Graham,Arizona,4009,forest,82.86,0.17,,,
Greenlee,Arizona,4011,cropland-cultivated,58.95,0.39,0.174,0.39,1
Greenlee,Arizona,4011,cropland-noncultivated,60,0.4,0.129,0.04,1
Greenlee,Arizona,4011,pastureland,60,0.43,0.14,0.08,1
Greenlee,Arizona,4011,rangeland,59.54,0.14,1.676,0.12,1
La Paz,Arizona,4012,cropland-cultivated,54.13,0.34,0.16,0.49,1
La Paz,Arizona,4012,cropland-noncultivated,30.13,0.33,0.132,0.14,1
La Paz,Arizona,4012,rangeland,37.64,0.21,0.213,0.31,1
La Paz,Arizona,4012,forest,30,0.1,,,
Maricopa,Arizona,4013,cropland-cultivated,39.27,0.32,0.159,0.25,1
Maricopa,Arizona,4013,cropland-noncultivated,35.9,0.33,0.148,0.13,1
Maricopa,Arizona,4013,pastureland,35.16,0.29,0.122,0.02,1
Maricopa,Arizona,4013,rangeland,44.55,0.2,0.288,0.26,1
Mohave,Arizona,4015,cropland-cultivated,37.33,0.49,0.096,0.12,1
Mohave,Arizona,4015,cropland-noncultivated,40,0.36,,0.06,1
Mohave,Arizona,4015,rangeland,41.56,0.17,1.144,0.16,1
Mohave,Arizona,4015,forest,48.45,0.09,,,
Navajo,Arizona,4017,cropland-cultivated,35,0.37,0.226,0.2,1
Navajo,Arizona,4017,cropland-noncultivated,50,0.43,0.248,0.09,1
Navajo,Arizona,4017,pastureland,57.6,0.25,0.213,0.05,1
Navajo,Arizona,4017,rangeland,31.36,0.23,0.464,0.22,1
Navajo,Arizona,4017,forest,49.85,0.19,,,
Pima,Arizona,4019,cropland-cultivated,90.78,0.32,0.131,0.4,1
Pima,Arizona,4019,cropland-noncultivated,94.91,0.2,0.134,0.45,1
Pima,Arizona,4019,pastureland,65,0.24,0.121,0.01,1
Pima,Arizona,4019,rangeland,97.86,0.18,0.417,0.26,1
Pinal,Arizona,4021,cropland-cultivated,57.64,0.34,0.13,0.38,1
Pinal,Arizona,4021,cropland-noncultivated,52.72,0.33,0.142,0.29,1
Pinal,Arizona,4021,pastureland,66.27,0.43,0.124,0.05,1
Pinal,Arizona,4021,rangeland,67.22,0.18,1.067,0.24,1
Santa Cruz,Arizona,4023,cropland-cultivated,100,0.29,0.132,0.32,1
Santa Cruz,Arizona,4023,cropland-noncultivated,100,0.32,0.123,0,1
Santa Cruz,Arizona,4023,pastureland,100,0.29,0.164,0.01,1
Santa Cruz,Arizona,4023,rangeland,96.76,0.16,1.456,0.15,1
Yavapai,Arizona,4025,cropland-cultivated,60,0.23,0.221,0.3,1
Yavapai,Arizona,4025,cropland-noncultivated,64.32,0.15,0.147,0.04,1
Yavapai,Arizona,4025,pastureland,66.46,0.24,0.122,0.03,1
Yavapai,Arizona,4025,rangeland,58.82,0.19,0.81,0.18,1
Yavapai,Arizona,4025,forest,61.42,0.19,,,
Yuma,Arizona,4027,cropland-cultivated,39.92,0.4,0.135,0.35,1
Yuma,Arizona,4027,cropland-noncultivated,40,0.34,0.106,0.19,1
Yuma,Arizona,4027,rangeland,40,0.26,0.092,0.28,1
Arkansas,Arkansas,5001,cropland-cultivated,300,0.47,0.107,0.27,1
Arkansas,Arkansas,5001,cropland-noncultivated,300,0.49,0.204,0.01,1
Arkansas,Arkansas,5001,pastureland,300,0.46,0.151,0.01,1
Arkansas,Arkansas,5001,forest,300,0.41,,,
Ashley,Arkansas,5003,cropland-cultivated,325,0.39,0.093,0.33,1
Ashley,Arkansas,5003,cropland-noncultivated,325,0.38,0.119,0.03,1
Ashley,Arkansas,5003,pastureland,325,0.42,0.262,0.03,1
Ashley,Arkansas,5003,forest,325,0.45,,,
Baxter,Arkansas,5005,cropland-noncultivated,275,0.39,0.134,0.04,1
Baxter,Arkansas,5005,pastureland,275,0.28,0.953,0.02,1
Baxter,Arkansas,5005,rangeland,275,0.24,3.071,0.01,1
Baxter,Arkansas,5005,forest,275,0.26,,,
Benton,Arkansas,5007,cropland-cultivated,275,0.4,0.27,0.09,1
Benton,Arkansas,5007,cropland-noncultivated,275,0.37,0.353,0.03,1
Benton,Arkansas,5007,pastureland,275,0.33,0.735,0.02,1
Benton,Arkansas,5007,forest,275,0.3,,,
Boone,Arkansas,5009,cropland-noncultivated,275,0.28,1.298,0.01,1
Boone,Arkansas,5009,pastureland,275,0.3,2.072,0.02,1
Boone,Arkansas,5009,forest,275,0.26,,,
Bradley,Arkansas,5011,cropland-cultivated,325,0.2,0.287,0.24,1
Bradley,Arkansas,5011,cropland-noncultivated,325,0.24,0.242,0.08,1
Bradley,Arkansas,5011,pastureland,325,0.32,0.28,0.04,1
Bradley,Arkansas,5011,forest,325,0.36,,,
Calhoun,Arkansas,5013,pastureland,325,0.29,0.119,0.03,1
Calhoun,Arkansas,5013,forest,325,0.36,,,
Carroll,Arkansas,5015,pastureland,275,0.26,1.225,0.01,1
Carroll,Arkansas,5015,rangeland,275,0.24,1.941,0.03,1
Carroll,Arkansas,5015,forest,275,0.25,,,
Chicot,Arkansas,5017,cropland-cultivated,325,0.36,0.111,0.3,1
Chicot,Arkansas,5017,pastureland,325,0.42,0.149,0.01,1
Chicot,Arkansas,5017,forest,325,0.36,,,
Clark,Arkansas,5019,cropland-cultivated,300,0.37,0.153,0.36,1
Clark,Arkansas,5019,cropland-noncultivated,300,0.32,0.17,0.03,1
Clark,Arkansas,5019,pastureland,300,0.29,0.535,0.03,1
Clark,Arkansas,5019,forest,300.39,0.3,,,
Clay,Arkansas,5021,cropland-cultivated,275,0.41,0.101,0.23,1
Clay,Arkansas,5021,cropland-noncultivated,275,0.46,0.637,0.02,1
Clay,Arkansas,5021,pastureland,275,0.43,0.521,0.02,1
Clay,Arkansas,5021,forest,275,0.44,,,
Cleburne,Arkansas,5023,pastureland,275,0.24,0.539,0.03,1
Cleburne,Arkansas,5023,forest,275,0.23,,,
Cleveland,Arkansas,5025,cropland-cultivated,325,0.2,0.307,0.2,1
Cleveland,Arkansas,5025,pastureland,325,0.35,0.243,0.02,1
Cleveland,Arkansas,5025,forest,325,0.34,,,
Columbia,Arkansas,5027,pastureland,325,0.31,0.399,0.02,1
Columbia,Arkansas,5027,forest,325,0.31,,,
Conway,Arkansas,5029,cropland-cultivated,275,0.37,0.159,0.36,1
Conway,Arkansas,5029,pastureland,275,0.33,0.397,0.02,1
Conway,Arkansas,5029,forest,275,0.26,,,
Craighead,Arkansas,5031,cropland-cultivated,275,0.43,0.09,0.28,1
Craighead,Arkansas,5031,cropland-noncultivated,275,0.49,0.669,0.03,1
Craighead,Arkansas,5031,pastureland,280.41,0.47,0.346,0.02,1
Craighead,Arkansas,5031,forest,275,0.45,,,
Crawford,Arkansas,5033,cropland-cultivated,275,0.35,0.183,0.41,1
Crawford,Arkansas,5033,cropland-noncultivated,275,0.34,0.171,0.05,1
Crawford,Arkansas,5033,pastureland,275,0.32,0.792,0.02,1
Crawford,Arkansas,5033,forest,275,0.3,,,
Crittenden,Arkansas,5035,cropland-cultivated,275,0.35,0.113,0.35,1
Crittenden,Arkansas,5035,cropland-noncultivated,275,0.32,0.129,0,1
Crittenden,Arkansas,5035,pastureland,275,0.32,0.324,0.01,1
Crittenden,Arkansas,5035,forest,275,0.29,,,
Cross,Arkansas,5037,cropland-cultivated,275,0.43,0.105,0.23,1
Cross,Arkansas,5037,cropland-noncultivated,275,0.47,0.261,0.15,1
Cross,Arkansas,5037,pastureland,275,0.45,0.527,0.01,1
Cross,Arkansas,5037,forest,275,0.4,,,
Dallas,Arkansas,5039,pastureland,325,0.3,0.206,0.01,1
Dallas,Arkansas,5039,forest,325,0.34,,,
Desha,Arkansas,5041,cropland-cultivated,325,0.36,0.116,0.34,1
Desha,Arkansas,5041,cropland-noncultivated,325,0.32,0.287,0,1
Desha,Arkansas,5041,pastureland,325,0.31,0.117,0.01,1
Desha,Arkansas,5041,forest,325,0.33,,,
Drew,Arkansas,5043,cropland-cultivated,325,0.38,0.106,0.35,1
Drew,Arkansas,5043,cropland-noncultivated,325,0.35,0.165,0.02,1
